Date,SPI6
8/1/1916,1.19
9/1/1916,1.66
10/1/1916,1.8
11/1/1916,1.8
12/1/1916,1.67
1/1/1917,1.25
2/1/1917,1.42
3/1/1917,1.04
4/1/1917,0.64
5/1/1917,0.44
6/1/1917,1.29
7/1/1917,0.23
8/1/1917,1.02
9/1/1917,1.62
10/1/1917,1.63
11/1/1917,1.66
12/1/1917,1.31
1/1/1918,1.75
2/1/1918,1.2
3/1/1918,0.37
4/1/1918,-0.92
5/1/1918,0.79
6/1/1918,0.34
7/1/1918,-0.9
8/1/1918,-1.36
9/1/1918,-2.03
10/1/1918,-2.18
11/1/1918,-2.61
12/1/1918,-2.5
1/1/1919,-1.86
2/1/1919,-1.34
3/1/1919,-0.28
4/1/1919,0.7
5/1/1919,0.07
6/1/1919,0.35
7/1/1919,-0.15
8/1/1919,-0.51
9/1/1919,0.31
10/1/1919,0.11
11/1/1919,0.3
12/1/1919,0.08
1/1/1920,0.4
2/1/1920,0.7
3/1/1920,0.06
4/1/1920,0.6
5/1/1920,-0.31
6/1/1920,-0.38
7/1/1920,-2.01
8/1/1920,-2.61
9/1/1920,-2.79
10/1/1920,-2.9
11/1/1920,-3.19
12/1/1920,-3.4
1/1/1921,-2.92
2/1/1921,-2.19
3/1/1921,-3.18
4/1/1921,-1.7
5/1/1921,-1.99
6/1/1921,-0.14
7/1/1921,-0.04
8/1/1921,-0.53
9/1/1921,-0.52
10/1/1921,-0.73
11/1/1921,-0.85
12/1/1921,-1.09
1/1/1922,-1.12
2/1/1922,-0.67
3/1/1922,-1.26
4/1/1922,-0.16
5/1/1922,0.36
6/1/1922,0.77
7/1/1922,0.02
8/1/1922,-0.89
9/1/1922,-0.41
10/1/1922,-0.59
11/1/1922,-0.08
12/1/1922,-0.29
1/1/1923,-0.09
2/1/1923,0.53
3/1/1923,0.96
4/1/1923,1.62
5/1/1923,0.41
6/1/1923,-1.31
7/1/1923,0
8/1/1923,-0.72
9/1/1923,0.33
10/1/1923,-0.06
11/1/1923,-0.17
12/1/1923,0.33
1/1/1924,-0.07
2/1/1924,0.45
3/1/1924,-2.32
4/1/1924,-0.51
5/1/1924,-0.48
6/1/1924,-1.41
7/1/1924,-1
8/1/1924,-0.54
9/1/1924,-0.34
10/1/1924,-0.09
11/1/1924,-0.13
12/1/1924,0.26
1/1/1925,0.29
2/1/1925,0.21
3/1/1925,0.32
4/1/1925,-0.73
5/1/1925,0.71
6/1/1925,-0.45
7/1/1925,-1.46
8/1/1925,-1.27
9/1/1925,-1.7
10/1/1925,-1.63
11/1/1925,-1.52
12/1/1925,-1.18
1/1/1926,-0.39
2/1/1926,-0.21
3/1/1926,0.92
4/1/1926,1.44
5/1/1926,0.91
6/1/1926,-0.16
7/1/1926,0.01
8/1/1926,0.87
9/1/1926,0.23
10/1/1926,-0.1
11/1/1926,-0.31
12/1/1926,-0.05
1/1/1927,-0.38
2/1/1927,-1.36
3/1/1927,-1.86
4/1/1927,-0.43
5/1/1927,-0.52
6/1/1927,0.04
7/1/1927,0.06
8/1/1927,-0.71
9/1/1927,-0.54
10/1/1927,-0.27
11/1/1927,0.31
12/1/1927,0.22
1/1/1928,0.22
2/1/1928,0.88
3/1/1928,1.5
4/1/1928,1.4
5/1/1928,-0.31
6/1/1928,-0.38
7/1/1928,-0.57
8/1/1928,-0.75
9/1/1928,0.27
10/1/1928,0.62
11/1/1928,0.59
12/1/1928,0.73
1/1/1929,0.93
2/1/1929,1.08
3/1/1929,0.68
4/1/1929,0.3
5/1/1929,0.53
6/1/1929,0.85
7/1/1929,0.19
8/1/1929,-0.76
9/1/1929,-0.9
10/1/1929,-0.87
11/1/1929,-1.01
12/1/1929,-1.47
1/1/1930,-1.34
2/1/1930,-0.63
3/1/1930,-0.46
4/1/1930,-1.57
5/1/1930,-1.29
6/1/1930,-1
7/1/1930,-2.21
8/1/1930,-2.29
9/1/1930,-0.29
10/1/1930,-0.26
11/1/1930,-0.26
12/1/1930,-0.13
1/1/1931,0.48
2/1/1931,0.86
3/1/1931,-0.41
4/1/1931,-0.46
5/1/1931,-1.48
6/1/1931,-0.87
7/1/1931,0.04
8/1/1931,-0.03
9/1/1931,0.46
10/1/1931,1.01
11/1/1931,1.3
12/1/1931,1.43
1/1/1932,1.29
2/1/1932,1.41
3/1/1932,1.74
4/1/1932,1.04
5/1/1932,0.56
6/1/1932,-0.38
7/1/1932,0.38
8/1/1932,0.04
9/1/1932,-0.47
10/1/1932,-0.4
11/1/1932,-0.17
12/1/1932,0.02
1/1/1933,-0.32
2/1/1933,-0.14
3/1/1933,0.63
4/1/1933,0.65
5/1/1933,1.29
6/1/1933,1.56
7/1/1933,1.04
8/1/1933,0.62
9/1/1933,1.61
10/1/1933,1.36
11/1/1933,0.99
12/1/1933,1.01
1/1/1934,1.18
2/1/1934,1.34
3/1/1934,0.13
4/1/1934,0.45
5/1/1934,0.64
6/1/1934,-1.22
7/1/1934,-0.26
8/1/1934,0.7
9/1/1934,0.9
10/1/1934,0.59
11/1/1934,1.2
12/1/1934,1.36
1/1/1935,1.25
2/1/1935,0.75
3/1/1935,0.58
4/1/1935,1.33
5/1/1935,-1.18
6/1/1935,0.26
7/1/1935,1.08
8/1/1935,1.17
9/1/1935,1.33
10/1/1935,1.37
11/1/1935,1.44
12/1/1935,1.23
1/1/1936,0.88
2/1/1936,0.79
3/1/1936,0.52
4/1/1936,-0.09
5/1/1936,1.51
6/1/1936,1.03
7/1/1936,-0.19
8/1/1936,-0.94
9/1/1936,-0.88
10/1/1936,-1.13
11/1/1936,-0.49
12/1/1936,-0.47
1/1/1937,0.06
2/1/1937,0.56
3/1/1937,1.24
4/1/1937,2.24
5/1/1937,0.04
6/1/1937,-0.45
7/1/1937,0.11
8/1/1937,-1.02
9/1/1937,-1.07
10/1/1937,-0.58
11/1/1937,-0.71
12/1/1937,-0.39
1/1/1938,-0.7
2/1/1938,0.12
3/1/1938,0.82
4/1/1938,0.04
5/1/1938,1.47
6/1/1938,1.79
7/1/1938,2.73
8/1/1938,2.1
9/1/1938,2.15
10/1/1938,1.99
11/1/1938,1.75
12/1/1938,1.34
1/1/1939,0.61
2/1/1939,0.76
3/1/1939,-0.19
4/1/1939,-1.69
5/1/1939,-1.98
6/1/1939,-0.89
7/1/1939,-1.24
8/1/1939,-0.24
9/1/1939,-1.27
10/1/1939,-1.38
11/1/1939,-1.22
12/1/1939,-1.18
1/1/1940,-0.97
2/1/1940,-1.79
3/1/1940,-0.6
4/1/1940,0.35
5/1/1940,0.22
6/1/1940,0.88
7/1/1940,0.92
8/1/1940,0.77
9/1/1940,0.37
10/1/1940,0.31
11/1/1940,0.24
12/1/1940,0.01
1/1/1941,-0.1
2/1/1941,-0.05
3/1/1941,0.41
4/1/1941,0.54
5/1/1941,0.27
6/1/1941,-2.29
7/1/1941,-1.21
8/1/1941,-1.53
9/1/1941,-1.2
10/1/1941,-1.37
11/1/1941,-1.54
12/1/1941,-0.85
1/1/1942,-1.13
2/1/1942,-0.67
3/1/1942,-1.51
4/1/1942,-0.62
5/1/1942,-0.6
6/1/1942,0.37
7/1/1942,0.46
8/1/1942,0.93
9/1/1942,0.49
10/1/1942,0.14
11/1/1942,0.06
12/1/1942,0.19
1/1/1943,0.15
2/1/1943,-0.41
3/1/1943,-0.41
4/1/1943,0.43
5/1/1943,1.82
6/1/1943,0.62
7/1/1943,0.33
8/1/1943,-0.72
9/1/1943,0.5
10/1/1943,1.07
11/1/1943,0.72
12/1/1943,0.69
1/1/1944,0.78
2/1/1944,1.41
3/1/1944,1.2
4/1/1944,-0.43
5/1/1944,-0.3
6/1/1944,-0.76
7/1/1944,0.36
8/1/1944,0.48
9/1/1944,0.09
10/1/1944,0.16
11/1/1944,0.16
12/1/1944,0.35
1/1/1945,-0.06
2/1/1945,-0.26
3/1/1945,-0.28
4/1/1945,-0.56
5/1/1945,-1.25
6/1/1945,-1.37
7/1/1945,-1.29
8/1/1945,-0.81
9/1/1945,0.15
10/1/1945,-0.02
11/1/1945,-0.09
12/1/1945,0.15
1/1/1946,0.31
2/1/1946,0.36
3/1/1946,-0.99
4/1/1946,-0.55
5/1/1946,-0.14
6/1/1946,1.04
7/1/1946,0.85
8/1/1946,0.24
9/1/1946,0.16
10/1/1946,-0.2
11/1/1946,0.26
12/1/1946,-0.08
1/1/1947,-0.04
2/1/1947,0.34
3/1/1947,0.77
4/1/1947,1.84
5/1/1947,1.16
6/1/1947,-0.66
7/1/1947,-0.66
8/1/1947,0.38
9/1/1947,0.53
10/1/1947,0.1
11/1/1947,0.01
12/1/1947,0.64
1/1/1948,0.77
2/1/1948,0.21
3/1/1948,-0.39
4/1/1948,0.38
5/1/1948,0.59
6/1/1948,1.43
7/1/1948,1.32
8/1/1948,0.64
9/1/1948,-0.01
10/1/1948,-0.26
11/1/1948,0.58
12/1/1948,-0.09
1/1/1949,-0.32
2/1/1949,0.03
3/1/1949,0.9
4/1/1949,1.58
5/1/1949,0.55
6/1/1949,0.86
7/1/1949,1.21
8/1/1949,0.56
9/1/1949,2.16
10/1/1949,1.91
11/1/1949,1.74
12/1/1949,1.57
1/1/1950,1.41
2/1/1950,1.71
3/1/1950,-0.38
4/1/1950,-0.49
5/1/1950,-0.13
6/1/1950,-1.57
7/1/1950,-1.29
8/1/1950,-1.43
9/1/1950,0.18
10/1/1950,0.01
11/1/1950,-0.21
12/1/1950,0.37
1/1/1951,0.53
2/1/1951,0.8
3/1/1951,-0.73
4/1/1951,-0.03
5/1/1951,0.37
6/1/1951,0.18
7/1/1951,1.39
8/1/1951,0.79
9/1/1951,-0.26
10/1/1951,0.14
11/1/1951,0.06
12/1/1951,-0.08
1/1/1952,-1.01
2/1/1952,-0.64
3/1/1952,0.58
4/1/1952,-0.89
5/1/1952,-0.46
6/1/1952,0.37
7/1/1952,0.08
8/1/1952,-0.49
9/1/1952,-0.6
10/1/1952,-0.62
11/1/1952,-0.86
12/1/1952,-1.12
1/1/1953,-1.12
2/1/1953,-0.75
3/1/1953,-1.04
4/1/1953,-0.13
5/1/1953,0
6/1/1953,1.2
7/1/1953,1.66
8/1/1953,1.3
9/1/1953,0.99
10/1/1953,0.84
11/1/1953,0.82
12/1/1953,0.33
1/1/1954,-0.12
2/1/1954,-0.07
3/1/1954,-0.14
4/1/1954,-0.4
5/1/1954,-0.2
6/1/1954,0.37
7/1/1954,1.55
8/1/1954,0.99
9/1/1954,1.39
10/1/1954,0.97
11/1/1954,0.93
12/1/1954,0.81
1/1/1955,0.18
2/1/1955,0.43
3/1/1955,-1.51
4/1/1955,-0.45
5/1/1955,-0.06
6/1/1955,1.22
7/1/1955,0.92
8/1/1955,1.45
9/1/1955,1.27
10/1/1955,1.49
11/1/1955,1.46
12/1/1955,1.01
1/1/1956,1.06
2/1/1956,0.59
3/1/1956,0.53
4/1/1956,-1.74
5/1/1956,0.9
6/1/1956,0.61
7/1/1956,1.29
8/1/1956,0.76
9/1/1956,0.99
10/1/1956,0.92
11/1/1956,0.82
12/1/1956,0.87
1/1/1957,0.47
2/1/1957,0.72
3/1/1957,0.53
4/1/1957,0.98
5/1/1957,1.08
6/1/1957,0.58
7/1/1957,0.43
8/1/1957,0.96
9/1/1957,0.45
10/1/1957,0.31
11/1/1957,0.04
12/1/1957,0.05
1/1/1958,0.05
2/1/1958,-0.47
3/1/1958,-0.5
4/1/1958,-0.42
5/1/1958,-0.25
6/1/1958,-1.05
7/1/1958,0.12
8/1/1958,1.6
9/1/1958,0.82
10/1/1958,0.55
11/1/1958,0.92
12/1/1958,1.16
1/1/1959,0.9
2/1/1959,-0.24
3/1/1959,0.3
4/1/1959,0.8
5/1/1959,-0.74
6/1/1959,0.43
7/1/1959,0.64
8/1/1959,0.84
9/1/1959,1.06
10/1/1959,1.44
11/1/1959,1.47
12/1/1959,1.24
1/1/1960,1.22
2/1/1960,1.05
3/1/1960,1.09
4/1/1960,-0.51
5/1/1960,0.3
6/1/1960,-0.5
7/1/1960,-0.66
8/1/1960,-0.65
9/1/1960,0.09
10/1/1960,0.43
11/1/1960,0.23
12/1/1960,0.46
1/1/1961,0.62
2/1/1961,0.79
3/1/1961,0.5
4/1/1961,-0.39
5/1/1961,0.97
6/1/1961,0.69
7/1/1961,1.08
8/1/1961,0.73
9/1/1961,0.23
10/1/1961,1.1
11/1/1961,0.77
12/1/1961,0.77
1/1/1962,0.54
2/1/1962,0.65
3/1/1962,1.58
4/1/1962,-0.44
5/1/1962,0.72
6/1/1962,-0.41
7/1/1962,-0.65
8/1/1962,-0.02
9/1/1962,1.01
10/1/1962,0.62
11/1/1962,0.75
12/1/1962,1.3
1/1/1963,1.53
2/1/1963,1.37
3/1/1963,0.76
4/1/1963,1.59
5/1/1963,1.08
6/1/1963,0.21
7/1/1963,0.52
8/1/1963,1.36
9/1/1963,0.18
10/1/1963,0.33
11/1/1963,0.27
12/1/1963,0.14
1/1/1964,-0.06
2/1/1964,-1.12
3/1/1964,0.08
4/1/1964,-0.64
5/1/1964,-0.53
6/1/1964,-0.23
7/1/1964,-0.1
8/1/1964,-0.24
9/1/1964,-0.11
10/1/1964,-0.29
11/1/1964,-0.36
12/1/1964,-0.39
1/1/1965,-0.36
2/1/1965,-0.2
3/1/1965,-0.84
4/1/1965,-0.05
5/1/1965,-0.09
6/1/1965,-0.71
7/1/1965,-0.39
8/1/1965,0.43
9/1/1965,-0.49
10/1/1965,-0.86
11/1/1965,-1
12/1/1965,-0.65
1/1/1966,-0.81
2/1/1966,-1.77
3/1/1966,-1.11
4/1/1966,-0.24
5/1/1966,1
6/1/1966,-0.23
7/1/1966,0.27
8/1/1966,-0.27
9/1/1966,0.04
10/1/1966,-0.25
11/1/1966,-0.03
12/1/1966,0.32
1/1/1967,0.04
2/1/1967,0.43
3/1/1967,0.36
4/1/1967,1.22
5/1/1967,-0.24
6/1/1967,-0.62
7/1/1967,-0.03
8/1/1967,-0.23
9/1/1967,-0.49
10/1/1967,-0.54
11/1/1967,-0.68
12/1/1967,-0.04
1/1/1968,-0.21
2/1/1968,0.1
3/1/1968,0.96
4/1/1968,1.54
5/1/1968,2.14
6/1/1968,-0.85
7/1/1968,0.09
8/1/1968,-0.38
9/1/1968,-0.33
10/1/1968,-0.46
11/1/1968,-0.31
12/1/1968,0.1
1/1/1969,-0.3
2/1/1969,-0.05
3/1/1969,-0.35
4/1/1969,-0.14
5/1/1969,-2.72
6/1/1969,-0.17
7/1/1969,-0.18
8/1/1969,0.05
9/1/1969,0.66
10/1/1969,0.4
11/1/1969,0.62
12/1/1969,0.46
1/1/1970,0.55
2/1/1970,0.48
3/1/1970,-0.55
4/1/1970,0.49
5/1/1970,0.19
6/1/1970,1.43
7/1/1970,0.29
8/1/1970,1.97
9/1/1970,1.29
10/1/1970,0.94
11/1/1970,0.8
12/1/1970,0.29
1/1/1971,0.76
2/1/1971,-0.78
3/1/1971,-1.49
4/1/1971,-2.89
5/1/1971,0.2
6/1/1971,-0.54
7/1/1971,-2.31
8/1/1971,-0.79
9/1/1971,-0.32
10/1/1971,0.17
11/1/1971,-0.19
12/1/1971,0.04
1/1/1972,0.8
2/1/1972,0.42
3/1/1972,0.4
4/1/1972,-1.96
5/1/1972,-2.08
6/1/1972,-0.79
7/1/1972,-1.93
8/1/1972,-2.01
9/1/1972,-2.13
10/1/1972,-2.28
11/1/1972,-1.94
12/1/1972,-2.02
1/1/1973,-1.45
2/1/1973,-1.05
3/1/1973,-0.54
4/1/1973,0.41
5/1/1973,-1.32
6/1/1973,-0.69
7/1/1973,-0.58
8/1/1973,1.14
9/1/1973,0.76
10/1/1973,0.79
11/1/1973,0.73
12/1/1973,0.78
1/1/1974,0.9
2/1/1974,-0.2
3/1/1974,-0.17
4/1/1974,-0.65
5/1/1974,1.1
6/1/1974,0.38
7/1/1974,0.4
8/1/1974,0.51
9/1/1974,-0.14
10/1/1974,0.34
11/1/1974,-0.11
12/1/1974,0.02
1/1/1975,-0.03
2/1/1975,-0.16
3/1/1975,0.64
4/1/1975,-1.54
5/1/1975,-0.57
6/1/1975,-0.1
7/1/1975,-0.24
8/1/1975,0.91
9/1/1975,1.24
10/1/1975,1.44
11/1/1975,1.36
12/1/1975,1.31
1/1/1976,1.47
2/1/1976,0.84
3/1/1976,0.36
4/1/1976,-1.24
5/1/1976,-1.36
6/1/1976,-0.96
7/1/1976,-0.26
8/1/1976,0.31
9/1/1976,-0.47
10/1/1976,-0.77
11/1/1976,-0.4
12/1/1976,-0.27
1/1/1977,-0.51
2/1/1977,-0.96
3/1/1977,-0.11
4/1/1977,0.75
5/1/1977,-0.92
6/1/1977,-0.08
7/1/1977,-0.49
8/1/1977,-0.64
9/1/1977,-1.11
10/1/1977,-0.8
11/1/1977,0.04
12/1/1977,-0.01
1/1/1978,0.29
2/1/1978,0.65
3/1/1978,1.97
4/1/1978,2.24
5/1/1978,1.17
6/1/1978,1.26
7/1/1978,1.25
8/1/1978,0.77
9/1/1978,-0.41
10/1/1978,-0.42
11/1/1978,-0.3
12/1/1978,-0.58
1/1/1979,-0.94
2/1/1979,-0.99
3/1/1979,0.3
4/1/1979,0.39
5/1/1979,-0.23
6/1/1979,-0.03
7/1/1979,-0.01
8/1/1979,0.01
9/1/1979,0.08
10/1/1979,-0.07
11/1/1979,0.31
12/1/1979,0.26
1/1/1980,0.25
2/1/1980,0.26
3/1/1980,0.24
4/1/1980,0.81
5/1/1980,-1.26
6/1/1980,1.24
7/1/1980,0.58
8/1/1980,0.99
9/1/1980,0.08
10/1/1980,-0.24
11/1/1980,-0.34
12/1/1980,-1.03
1/1/1981,-0.69
2/1/1981,-1.37
3/1/1981,-0.73
4/1/1981,0.21
5/1/1981,0.95
6/1/1981,-0.09
7/1/1981,-0.95
8/1/1981,-0.58
9/1/1981,0.34
10/1/1981,0.51
11/1/1981,0.4
12/1/1981,0.78
1/1/1982,1.14
2/1/1982,1.12
3/1/1982,0.75
4/1/1982,0.59
5/1/1982,1.39
6/1/1982,-0.52
7/1/1982,-0.49
8/1/1982,-1.26
9/1/1982,-1.32
10/1/1982,-1.32
11/1/1982,-1.53
12/1/1982,-1.19
1/1/1983,-1.39
2/1/1983,-0.69
3/1/1983,-0.42
4/1/1983,-0.29
5/1/1983,-2.05
6/1/1983,-1.47
7/1/1983,-0.97
8/1/1983,0.23
9/1/1983,1.63
10/1/1983,1.61
11/1/1983,1.62
12/1/1983,1.81
1/1/1984,1.96
2/1/1984,1.57
3/1/1984,0.14
4/1/1984,-0.67
5/1/1984,-0.69
6/1/1984,-1.73
7/1/1984,-1.43
8/1/1984,-2
9/1/1984,-1.87
10/1/1984,-0.56
11/1/1984,-0.67
12/1/1984,-0.31
1/1/1985,-0.14
2/1/1985,0.35
3/1/1985,1.31
4/1/1985,-0.43
5/1/1985,-0.39
6/1/1985,0.74
7/1/1985,0.43
8/1/1985,0.37
9/1/1985,-0.62
10/1/1985,-0.3
11/1/1985,-0.09
12/1/1985,-0.47
1/1/1986,-0.54
2/1/1986,-0.42
3/1/1986,0.91
4/1/1986,0.53
5/1/1986,-0.27
6/1/1986,0.94
7/1/1986,1.15
8/1/1986,1.03
9/1/1986,-0.03
10/1/1986,-0.34
11/1/1986,-0.48
12/1/1986,-0.75
1/1/1987,-0.97
2/1/1987,-1.29
3/1/1987,-0.32
4/1/1987,0.55
5/1/1987,1.58
6/1/1987,1.05
7/1/1987,-0.68
8/1/1987,-0.69
9/1/1987,-1.51
10/1/1987,-0.98
11/1/1987,-1.07
12/1/1987,-1.04
1/1/1988,-0.42
2/1/1988,-0.36
3/1/1988,1.01
4/1/1988,0.91
5/1/1988,0.81
6/1/1988,-0.44
7/1/1988,1.07
8/1/1988,0.98
9/1/1988,1.36
10/1/1988,1.35
11/1/1988,1.27
12/1/1988,1.38
1/1/1989,0.83
2/1/1989,0.79
3/1/1989,0.34
4/1/1989,-0.32
5/1/1989,0.29
6/1/1989,0.58
7/1/1989,-0.03
8/1/1989,-0.03
9/1/1989,-0.15
10/1/1989,-0.41
11/1/1989,-0.66
12/1/1989,-0.77
1/1/1990,-0.55
2/1/1990,-0.55
3/1/1990,-1.6
4/1/1990,-0.92
5/1/1990,1.22
6/1/1990,0.88
7/1/1990,0.88
8/1/1990,1.51
9/1/1990,0.25
10/1/1990,0.61
11/1/1990,0.23
12/1/1990,0.18
1/1/1991,0.07
2/1/1991,-0.71
3/1/1991,0.69
4/1/1991,0.08
5/1/1991,-0.09
6/1/1991,0.63
7/1/1991,0.38
8/1/1991,-0.17
9/1/1991,-1.06
10/1/1991,-1.39
11/1/1991,-1.46
12/1/1991,-2
1/1/1992,-2.35
2/1/1992,-2.13
3/1/1992,-1.79
4/1/1992,-0.74
5/1/1992,-0.43
6/1/1992,-1.27
7/1/1992,-2.04
8/1/1992,-0.73
9/1/1992,0
10/1/1992,-0.06
11/1/1992,-0.3
12/1/1992,0.01
1/1/1993,0.5
2/1/1993,0.16
3/1/1993,-0.94
4/1/1993,-1.38
5/1/1993,-1.7
6/1/1993,-1.65
7/1/1993,-0.81
8/1/1993,-0.94
9/1/1993,-0.95
10/1/1993,-0.03
11/1/1993,-0.1
12/1/1993,0.38
1/1/1994,0.36
2/1/1994,0.61
3/1/1994,1.48
4/1/1994,0.66
5/1/1994,1.18
6/1/1994,1.52
7/1/1994,1.21
8/1/1994,0.78
9/1/1994,0.42
10/1/1994,0.31
11/1/1994,0.28
12/1/1994,-0.27
1/1/1995,-0.27
2/1/1995,-0.12
3/1/1995,0.19
4/1/1995,0.12
5/1/1995,0.63
6/1/1995,0
7/1/1995,0.85
8/1/1995,-0.06
9/1/1995,0.39
10/1/1995,0.32
11/1/1995,0.09
12/1/1995,0.24
1/1/1996,-0.33
2/1/1996,0.31
3/1/1996,-0.61
4/1/1996,-1.1
5/1/1996,-1.1
6/1/1996,-1.06
7/1/1996,-0.33
8/1/1996,-0.06
9/1/1996,0.5
10/1/1996,1.1
11/1/1996,1.09
12/1/1996,1.24
1/1/1997,1.27
2/1/1997,1.2
3/1/1997,1.24
4/1/1997,0.03
5/1/1997,0.17
6/1/1997,0.87
7/1/1997,0.1
8/1/1997,0.75
9/1/1997,-0.47
10/1/1997,-0.68
11/1/1997,0.19
12/1/1997,0.13
1/1/1998,0.34
2/1/1998,-0.13
3/1/1998,1.48
4/1/1998,1.98
5/1/1998,0.26
6/1/1998,-1.53
7/1/1998,-1.06
8/1/1998,-0.51
9/1/1998,0.84
10/1/1998,0.84
11/1/1998,1.18
12/1/1998,1.39
1/1/1999,1.51
2/1/1999,1.5
3/1/1999,0.78
4/1/1999,0.77
5/1/1999,0.75
6/1/1999,1.19
7/1/1999,0.49
8/1/1999,0.23
9/1/1999,0.63
10/1/1999,1.01
11/1/1999,0.7
12/1/1999,0.43
1/1/2000,0.71
2/1/2000,0.77
3/1/2000,0.54
4/1/2000,-2.09
5/1/2000,-0.84
6/1/2000,-0.16
7/1/2000,-0.43
8/1/2000,-0.46
9/1/2000,-1.18
10/1/2000,-1.26
11/1/2000,-1.5
12/1/2000,-1.63
1/1/2001,-1.6
2/1/2001,-1.69
3/1/2001,-0.91
4/1/2001,-0.23
5/1/2001,-0.08
6/1/2001,0.03
7/1/2001,-1.36
8/1/2001,-1.23
9/1/2001,-2.05
10/1/2001,-1.73
11/1/2001,-1.9
12/1/2001,-2.13
1/1/2002,-1.45
2/1/2002,-1.38
3/1/2002,-0.27
4/1/2002,-0.11
5/1/2002,-0.17
6/1/2002,1.21
7/1/2002,-0.61
8/1/2002,-0.09
9/1/2002,-0.47
